epoch,train_loss,train_acc,oa,macc,macro_f1
1,3.182590,0.167225,15.478120,9.758140,5.300958
2,2.557415,0.309966,25.486224,16.849419,10.498982
3,2.314415,0.360662,29.294976,19.883140,13.281663
4,2.154281,0.399269,35.210697,24.257558,18.747875
5,2.032538,0.436757,40.761750,29.227326,24.920074
6,1.930970,0.463273,41.247974,29.355814,26.512951
7,1.833942,0.480443,48.338736,35.288953,32.740916
8,1.755917,0.498324,47.811994,34.995930,31.623016
9,1.687605,0.518744,51.620746,38.725581,36.374361
10,1.647114,0.531748,53.970827,40.098256,38.667523
11,1.569356,0.553896,56.361426,42.566860,41.098007
12,1.527644,0.557858,56.847650,44.259302,42.694507
13,1.518899,0.565986,57.495948,44.578488,43.238833
14,1.485595,0.572996,58.346840,44.481395,43.359468
15,1.473315,0.577263,58.752026,45.980233,44.017869
16,1.457458,0.582952,58.792545,45.785465,45.232244
17,1.448570,0.586508,59.157212,46.427326,45.908195
18,1.419025,0.590470,58.833063,45.834302,45.049584
19,1.406125,0.596769,58.387358,45.219767,44.021513
20,1.382717,0.601443,59.238250,46.119767,45.247969
21,1.357832,0.606218,61.507293,48.144186,46.987809
22,1.342767,0.609164,61.912480,49.247674,48.081802
23,1.329636,0.617901,61.993517,50.025581,48.902551
24,1.318756,0.619120,62.115073,48.938953,48.707905
25,1.314514,0.621558,61.264182,48.238372,47.352971
26,1.306637,0.623895,62.317666,50.102326,49.114274
27,1.303864,0.625419,63.290113,51.060465,49.756605
28,1.297634,0.624911,63.411669,51.097674,49.986389
29,1.282510,0.626740,63.573744,50.775581,49.832779
30,1.285931,0.628365,62.034036,50.347093,48.779459
